Category: All categories

Week,flu symptoms: (United Kingdom),flu jab: (United Kingdom),flu: (United Kingdom)
2013-10-06,2,6,20
2013-10-13,2,8,20
2013-10-20,3,8,19
2013-10-27,2,5,15
2013-11-03,2,4,15
2013-11-10,2,4,13
2013-11-17,2,2,13
2013-11-24,2,3,12
2013-12-01,2,2,12
2013-12-08,3,1,12
2013-12-15,2,1,12
2013-12-22,2,<1,8
2013-12-29,2,1,10
2014-01-05,2,1,10
2014-01-12,2,1,8
2014-01-19,2,1,9
2014-01-26,2,<1,10
2014-02-02,2,1,11
2014-02-09,3,<1,11
2014-02-16,2,<1,10
2014-02-23,2,<1,10
2014-03-02,2,<1,10
2014-03-09,2,<1,8
2014-03-16,2,<1,8
2014-03-23,2,<1,7
2014-03-30,2,0,8
2014-04-06,2,<1,7
2014-04-13,2,<1,6
2014-04-20,1,<1,6
2014-04-27,1,<1,6
2014-05-04,1,0,6
2014-05-11,2,0,6
2014-05-18,1,<1,6
2014-05-25,1,<1,4
2014-06-01,1,<1,6
2014-06-08,1,<1,4
2014-06-15,1,0,4
2014-06-22,1,<1,4
2014-06-29,1,<1,5
2014-07-06,1,0,5
2014-07-13,1,0,4
2014-07-20,1,<1,5
2014-07-27,1,<1,5
2014-08-03,1,0,5
2014-08-10,1,0,4
2014-08-17,1,<1,4
2014-08-24,1,<1,6
2014-08-31,2,<1,7
2014-09-07,1,1,9
2014-09-14,2,1,11
2014-09-21,1,3,14
2014-09-28,1,4,17
2014-10-05,2,10,28
2014-10-12,3,7,25
2014-10-19,2,6,21
2014-10-26,2,6,17
2014-11-02,2,5,17
2014-11-09,2,4,14
2014-11-16,3,3,20
2014-11-23,2,2,14
2014-11-30,3,2,16
2014-12-07,4,2,18
2014-12-14,4,2,21
2014-12-21,4,1,21
2014-12-28,5,1,22
2015-01-04,4,1,18
